scheme_id,scheme_name,benefits,min_age,max_age,min_land_holding,max_land_holding,income_limit,farmer_type,state,crop_type,category,gender,other_conditions,steps_to_apply,official_url
SCH001,PM-KISAN Samman Nidhi,6000 per year income support,18,100,0,9999,250000,any,ALL,ALL,ALL,ALL,Land must be registered in farmer name,"Register on PM-KISAN portal;Enter Aadhaar and land details;Add bank account information;Complete eKYC;Submit application",https://pmkisan.gov.in
SCH002,Pradhan Mantri Fasal Bima Yojana,Crop insurance against natural calamities,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Crop must be notified under scheme,"Visit bank or CSC;Register for crop and season;Submit land records;Pay premium if applicable;Receive insurance confirmation",https://pmfby.gov.in
SCH003,Soil Health Card Scheme,Free soil testing and nutrient advice,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Soil sample required,"Collect soil sample;Submit to lab or agriculture office;Soil analysis performed;Receive soil health card",https://soilhealth.dac.gov.in
SCH004,Kisan Credit Card,Low interest agricultural loans,18,65,0,25,9999999,any,ALL,ALL,ALL,ALL,Valid land documents required,"Visit bank branch;Fill KCC application form;Submit land and ID proof;Bank verification;Loan sanction",https://www.rbi.org.in
SCH005,PM Krishi Sinchai Yojana,Subsidy for irrigation facilities,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Water source required,"Apply at agriculture office;Submit land and water details;Field verification;Approval of subsidy;Install irrigation system",https://pmksy.gov.in
SCH006,PM Kisan Maan Dhan Yojana,Pension of 3000 per month after 60 years,18,40,0,10,250000,small,ALL,ALL,ALL,ALL,Monthly contribution required,"Register at CSC;Submit Aadhaar and bank details;Select pension contribution;Enroll in scheme",https://agriwelfare.gov.in
SCH007,Rashtriya Krishi Vikas Yojana,Support for agri infrastructure projects,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Project proposal required,"Prepare project proposal;Submit to state agriculture dept;Evaluation;Fund approval",https://rkvy.nic.in
SCH008,eNAM Online Market Access,Online trading platform for crops,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Produce must be tradable,"Register on eNAM portal;Complete KYC;Add produce details;Participate in e-auction",https://enam.gov.in
SCH009,Sub Mission on Agricultural Mechanization,Subsidy on farm machinery,18,100,0,25,9999999,small,ALL,ALL,ALL,ALL,Equipment usage proof needed,"Apply through agriculture office;Select machinery;Submit documents;Inspection;Receive subsidy",https://agrimachinery.nic.in
SCH010,National Food Security Mission,Productivity improvement support,18,100,0,9999,9999999,any,ALL,rice,ALL,ALL,Applicable only to selected crops,"Register with agriculture dept;Submit crop plan;Follow guidelines;Receive assistance",https://nfsm.gov.in
SCH011,PM KUSUM Yojana,60 percent subsidy for solar pumps,18,100,0,10,9999999,small,ALL,ALL,ALL,ALL,Electricity or pump requirement,"Apply on PM-KUSUM portal;Submit land details;Pay token amount;Install solar pump;Receive subsidy",https://pmkusum.mnre.gov.in
SCH012,Paramparagat Krishi Vikas Yojana,Support for organic farming,18,100,0,10,9999999,any,ALL,ALL,ALL,ALL,Cluster-based organic farming,"Register with agriculture dept;Form farmer cluster;Adopt organic practices;Get certification support",https://pgsindia-ncof.gov.in
SCH013,National Livestock Mission,Financial support for livestock farming,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Animal ownership proof,"Submit livestock details;Apply via department;Verification;Receive support",https://dahd.nic.in
SCH014,Interest Subvention Scheme,Interest subsidy on crop loans,18,65,0,9999,9999999,any,ALL,ALL,ALL,ALL,Loan must be crop-related,"Apply for crop loan;Bank processes loan;Interest subsidy credited",https://www.nabard.org
SCH015,Seed Subsidy Scheme,Subsidy on certified seeds,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Certified seed purchase,"Purchase certified seeds;Submit invoice;Apply for subsidy;Receive amount",https://agriwelfare.gov.in
SCH016,Fertilizer Subsidy Scheme,Reduced fertilizer cost,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Valid farmer ID,"Purchase fertilizer;Subsidy applied automatically",https://fert.nic.in
SCH017,Agri Clinics and Agri Business Centres,Support for agri entrepreneurs,18,65,0,9999,9999999,any,ALL,ALL,ALL,ALL,Business plan required,"Prepare business plan;Apply under scheme;Training provided;Loan and subsidy support",https://www.nabard.org
SCH018,National Mission for Sustainable Agriculture,Climate resilient farming support,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Adoption of sustainable practices,"Register with agriculture office;Adopt practices;Monitoring;Receive support",https://nmsa.dac.gov.in
SCH019,Women Farmer Empowerment Scheme,Training and financial aid,18,65,0,10,9999999,any,ALL,ALL,ALL,F,Applicant must be female,"Apply through agriculture dept;Submit ID proof;Attend training;Receive benefits",https://agriwelfare.gov.in
SCH020,State Millet Mission,Support for millet cultivation,18,100,0,15,9999999,any,Tamil Nadu,millet,ALL,ALL,Applicable only in Tamil Nadu,"Register on state portal;Submit land details;Receive seed and subsidy",https://tnagriculture.tn.gov.in
SCH021,National Horticulture Mission,Subsidy for horticulture crops,18,100,0,9999,9999999,any,ALL,horticulture,ALL,ALL,Horticulture crops only,"Apply via horticulture dept;Submit crop details;Inspection;Receive subsidy",https://nhm.gov.in
SCH022,PM Formalisation of Micro Food Processing Enterprises,Support for food processing units,18,65,0,9999,9999999,any,ALL,ALL,ALL,ALL,Processing unit required,"Submit business plan;Apply on portal;Approval;Receive grant",https://mofpi.gov.in
SCH023,MNREGA Farm Support,Wage employment support,18,60,0,9999,500000,any,ALL,ALL,ALL,ALL,Job card required,"Apply at Gram Panchayat;Get job card;Receive work allocation;Get wages",https://nrega.nic.in
SCH024,Crop Diversification Programme,Incentives for crop diversification,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,New crop adoption,"Apply through agriculture office;Submit crop plan;Approval;Incentive disbursal",https://myscheme.gov.in
SCH025,Integrated Oilseed Scheme,Support for oilseed production,18,100,0,9999,9999999,any,ALL,oilseeds,ALL,ALL,Oilseed crops only,"Register with dept;Submit crop details;Receive assistance",https://agriwelfare.gov.in
SCH026,Warehouse Infrastructure Subsidy,Subsidy for storage infrastructure,18,65,0,9999,9999999,any,ALL,ALL,ALL,ALL,Storage plan required,"Prepare storage plan;Apply to NABARD;Approval;Receive subsidy",https://www.nabard.org
SCH027,PM Matsya Sampada Yojana,Support for fisheries development,18,65,0,9999,9999999,any,ALL,fisheries,ALL,ALL,Fisheries activity required,"Register on portal;Submit project details;Approval;Financial support",https://pmmsy.dof.gov.in
SCH028,Agri Export Policy Support,Incentives for agri exports,18,100,0,9999,9999999,any,ALL,ALL,ALL,ALL,Export-oriented produce,"Register with APEDA;Submit export plan;Get incentives",https://apeda.gov.in
SCH029,PM Garib Kalyan Anna Yojana,Free food grains support,18,100,0,9999,200000,any,ALL,ALL,ALL,ALL,Ration card required,"Apply via ration office;Verify eligibility;Receive food grains",https://nfsa.gov.in
SCH030,Water Conservation Farm Ponds Scheme,Support for farm ponds and water storage,18,100,0,15,9999999,any,ALL,ALL,ALL,ALL,Land suitable for pond,"Apply at agriculture office;Site inspection;Approval;Construction support",https://pmksy.gov.in
SCH031,TN Chief Minister’s Uzhavar Paathukappu Thittam,Financial assistance and welfare for farmers,18,100,0,9999,300000,any,Tamil Nadu,ALL,ALL,ALL,Farmers registered with state,"Register with VAO;Submit farmer ID;Verify land records;Enroll in scheme;Receive benefits",https://www.tn.gov.in
SCH032,TN Free Electricity for Farmers,Free power supply for irrigation pumpsets,18,100,0,9999,9999999,any,Tamil Nadu,ALL,ALL,ALL,Agricultural service connection required,"Apply via TANGEDCO;Submit land and pump details;Inspection;Approval;Power connection",https://www.tangedco.gov.in
